gen	time	cMinPowerThermal	cMaxPowerThermal	cRampUpThermal	cRampDownThermal
17	271	0.0	0.0	0.0	0.0
22	271	0.0	0.0	0.0	0.0
17	272	0.0	0.0	0.0	0.0
19	272	0.0	0.0	0.0	0.0
25	272	0.0	0.0	0.0	0.0
17	273	0.0	0.0	0.0	0.0
22	273	0.0	0.0	0.0	0.0
4	274	0.0	0.0	0.0	0.0
17	274	0.0	0.0	0.0	0.0
25	274	0.0	0.0	0.0	0.0
17	275	0.0	0.0	0.0	0.0
17	276	0.0	0.0	0.0	0.0
19	276	0.0	0.0	0.0	0.0
25	276	0.0	0.0	0.0	0.0
17	277	0.0	0.0	0.0	0.0
17	278	0.0	0.0	0.0	0.0
19	278	0.0	0.0	0.0	0.0
13	279	0.0	0.0	0.0	0.0
17	279	0.0	0.0	0.0	0.0
22	279	0.0	0.0	0.0	0.0
8	280	0.0	0.0	0.0	0.0
17	280	0.0	0.0	0.0	0.0
17	281	0.0	0.0	0.0	0.0
5	282	0.0	0.0	0.0	0.0
10	282	0.0	0.0	0.0	0.0
15	282	0.0	0.0	0.0	0.0
17	282	0.0	0.0	0.0	0.0
19	282	0.0	0.0	0.0	0.0
12	283	0.0	0.0	0.0	0.0
10	285	0.0	0.0	0.0	0.0
17	285	0.0	0.0	0.0	0.0
10	286	0.0	0.0	0.0	0.0
