wec_cost,power_lim,diameter,omega_n,zeta,electrification,carbon_constraint,year,system_cost,carbon,system_capacity,wave_capacity,solar_capacity,onshore_wind_capacity,offshore_wind_capacity,battery_capacity,fossil_capacity,solar_costs,onshore_wind_costs,offshore_wind_costs,battery_costs,fossil_costs,fossil_energy,wave_energy
500.0,1000.0,20.0,0.5,0.15,ref,med,2030,2889863123.901666,12320130.362388823,49308.44525861085,0.0,14284.350750901405,7273.563212248318,0.0,482.1534853971115,0.0,[      0.    1128557.212],[      0.    2494105.867],[      0.    4005241.781],[     0.    198241.255],[      0.     960907.391 1047739.592 2576894.437],20934903.342676673,0.0
600.0,1000.0,20.0,0.5,0.15,ref,med,2030,,,,,,,,,,,,,,,,
400.0,1000.0,20.0,0.6,0.15,ref,med,2030,,,,,,,,,,,,,,,,
500.0,1000.0,20.0,0.6,0.15,ref,med,2030,2889863123.901678,12320130.362388806,49308.4452586109,0.0,14284.350750901423,7273.56321224836,0.0,482.1534853971688,0.0,[      0.    1128557.212],[      0.    2494105.867],[      0.    4005241.781],[     0.    198241.255],[      0.     960907.391 1047739.592 2576894.437],20934903.342676625,0.0
600.0,1000.0,20.0,0.6,0.15,ref,med,2030,,,,,,,,,,,,,,,,
400.0,1000.0,20.0,0.7,0.15,ref,med,2030,,,,,,,,,,,,,,,,
500.0,1000.0,20.0,0.7,0.15,ref,med,2030,2889863123.9016733,12320130.362388814,49308.44525861088,0.0,14284.350750901416,7273.563212248346,0.0,482.1534853971515,0.0,[      0.    1128557.212],[      0.    2494105.867],[      0.    4005241.781],[     0.    198241.255],[      0.     960907.391 1047739.592 2576894.437],20934903.342676647,0.0
600.0,1000.0,20.0,0.7,0.15,ref,med,2030,,,,,,,,,,,,,,,,
400.0,1000.0,20.0,0.5,0.25,ref,med,2030,,,,,,,,,,,,,,,,
500.0,1000.0,20.0,0.5,0.25,ref,med,2030,2889863123.9016685,12320130.362388805,49308.44525861088,0.0,14284.350750901416,7273.563212248346,0.0,482.15348539714785,0.0,[      0.    1128557.212],[      0.    2494105.867],[      0.    4005241.781],[     0.    198241.255],[      0.     960907.391 1047739.592 2576894.437],20934903.342676632,0.0
600.0,1000.0,20.0,0.5,0.25,ref,med,2030,,,,,,,,,,,,,,,,
400.0,1000.0,20.0,0.6,0.25,ref,med,2030,,,,,,,,,,,,,,,,
500.0,1000.0,20.0,0.6,0.25,ref,med,2030,2889863123.901677,12320130.362388823,49308.44525861087,0.0,14284.350750901413,7273.563212248331,0.0,482.15348539713426,0.0,[      0.    1128557.212],[      0.    2494105.867],[      0.    4005241.781],[     0.    198241.255],[      0.     960907.391 1047739.592 2576894.437],20934903.34267667,0.0
600.0,1000.0,20.0,0.6,0.25,ref,med,2030,,,,,,,,,,,,,,,,
400.0,1000.0,20.0,0.7,0.25,ref,med,2030,,,,,,,,,,,,,,,,
500.0,1000.0,20.0,0.7,0.25,ref,med,2030,2889863123.901676,12320130.362388814,49308.44525861088,0.0,14284.35075090142,7273.563212248351,0.0,482.1534853971557,0.0,[      0.    1128557.212],[      0.    2494105.867],[      0.    4005241.781],[     0.    198241.255],[      0.     960907.391 1047739.592 2576894.437],20934903.342676643,0.0
600.0,1000.0,20.0,0.7,0.25,ref,med,2030,,,,,,,,,,,,,,,,
